iter	Passed	Remaining
0	190	18853
1	219	10743
2	241	7812
3	261	6284
4	280	5332
5	299	4698
6	318	4232
7	337	3885
8	357	3611
9	376	3392
10	396	3208
11	415	3046
12	435	2911
13	454	2794
14	475	2693
15	494	2597
16	513	2508
17	532	2427
18	552	2354
19	576	2304
20	600	2259
21	624	2212
22	646	2164
23	667	2114
24	686	2060
25	706	2009
26	725	1960
27	744	1913
28	766	1877
29	786	1835
30	805	1793
31	824	1753
32	843	1713
33	863	1675
34	881	1637
35	901	1601
36	919	1566
37	938	1530
38	959	1500
39	979	1469
40	998	1437
41	1017	1405
42	1037	1374
43	1056	1344
44	1075	1314
45	1099	1290
46	1124	1267
47	1143	1239
48	1163	1210
49	1182	1182
50	1201	1154
51	1220	1126
52	1239	1098
53	1257	1071
54	1276	1044
55	1295	1017
56	1314	991
57	1333	965
58	1352	939
59	1370	913
60	1389	888
61	1409	863
62	1428	839
63	1447	814
64	1466	789
65	1485	765
66	1504	740
67	1522	716
68	1541	692
69	1566	671
70	1586	647
71	1605	624
72	1624	600
73	1643	577
74	1662	554
75	1680	530
76	1699	507
77	1718	484
78	1736	461
79	1769	442
80	1789	419
81	1808	396
82	1827	374
83	1846	351
84	1864	329
85	1883	306
86	1901	284
87	1920	261
88	1940	239
89	1959	217
90	1978	195
91	1997	173
92	2015	151
93	2034	129
94	2053	108
95	2072	86
96	2091	64
97	2109	43
98	2128	21
99	2147	0
