,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
15,0.00520785649617513,0.007365021287783696,0.00520785649617513,0.007365021287783696,6,13,0,"{'max_depth': 6, 'n_estimators': 13, 'random_state': 0}",0.9701492537313433,0.9242424242424242,0.9924242424242424,0.9623115577889447,0.028321018131252578,1
23,0.01561880111694336,0.0,0.0,0.0,8,13,0,"{'max_depth': 8, 'n_estimators': 13, 'random_state': 0}",0.9701492537313433,0.9242424242424242,0.9848484848484849,0.9597989949748744,0.025758137346795773,2
5,0.010414759318033854,0.007364346938207522,0.0,0.0,4,11,0,"{'max_depth': 4, 'n_estimators': 11, 'random_state': 0}",0.9626865671641791,0.9393939393939394,0.9772727272727273,0.9597989949748744,0.015561628721338816,2
7,0.015620231628417969,0.0,0.0,0.0,4,13,0,"{'max_depth': 4, 'n_estimators': 13, 'random_state': 0}",0.9701492537313433,0.9318181818181818,0.9772727272727273,0.9597989949748744,0.0199248012474592,2
27,0.015621423721313477,0.0,0.0,0.0,9,13,0,"{'max_depth': 9, 'n_estimators': 13, 'random_state': 0}",0.9701492537313433,0.9242424242424242,0.9772727272727273,0.957286432160804,0.023459036657954974,5
20,0.00520626703898112,0.007362773455863114,0.00520626703898112,0.007362773455863115,8,10,0,"{'max_depth': 8, 'n_estimators': 10, 'random_state': 0}",0.9402985074626866,0.9318181818181818,1.0,0.957286432160804,0.030288298595835674,5
6,0.010414759318033854,0.007364346938207522,0.0,0.0,4,12,0,"{'max_depth': 4, 'n_estimators': 12, 'random_state': 0}",0.9626865671641791,0.9318181818181818,0.9772727272727273,0.957286432160804,0.018905656589571326,5
24,0.0,0.0,0.0,0.0,9,10,0,"{'max_depth': 9, 'n_estimators': 10, 'random_state': 0}",0.9402985074626866,0.9318181818181818,0.9924242424242424,0.9547738693467337,0.026748113621170418,8
22,0.01561880111694336,0.0,0.0,0.0,8,12,0,"{'max_depth': 8, 'n_estimators': 12, 'random_state': 0}",0.9552238805970149,0.9242424242424242,0.9848484848484849,0.9547738693467337,0.02468215804938124,8
19,0.01041412353515625,0.007363897629130168,0.0,0.0,7,13,0,"{'max_depth': 7, 'n_estimators': 13, 'random_state': 0}",0.9701492537313433,0.9242424242424242,0.9696969696969697,0.9547738693467337,0.021508471633739517,8
26,0.01041428248087565,0.007364009763419434,0.0,0.0,9,12,0,"{'max_depth': 9, 'n_estimators': 12, 'random_state': 0}",0.9552238805970149,0.9242424242424242,0.9848484848484849,0.9547738693467337,0.02468215804938124,8
0,0.015621026357014975,7.867411722033552e-07,0.0,0.0,3,10,0,"{'max_depth': 3, 'n_estimators': 10, 'random_state': 0}",0.9552238805970149,0.9393939393939394,0.9696969696969697,0.9547738693467337,0.012344202016185088,8
8,0.015620231628417969,0.0,0.0,0.0,5,10,0,"{'max_depth': 5, 'n_estimators': 10, 'random_state': 0}",0.9477611940298507,0.9393939393939394,0.9772727272727273,0.9547738693467337,0.01621398932730357,8
3,0.015622138977050781,0.0,0.0,0.0,3,13,0,"{'max_depth': 3, 'n_estimators': 13, 'random_state': 0}",0.9626865671641791,0.9393939393939394,0.9621212121212122,0.9547738693467337,0.010836755418335352,8
2,0.015621026357014975,7.867411722033552e-07,0.0,0.0,3,12,0,"{'max_depth': 3, 'n_estimators': 12, 'random_state': 0}",0.9552238805970149,0.946969696969697,0.9621212121212122,0.9547738693467337,0.006178343044605629,8
10,0.0,0.0,0.005206108093261719,0.007362548672671057,5,12,0,"{'max_depth': 5, 'n_estimators': 12, 'random_state': 0}",0.9477611940298507,0.9318181818181818,0.9772727272727273,0.9522613065326633,0.01878566274980262,16
14,0.00520785649617513,0.007365021287783696,0.0,0.0,6,12,0,"{'max_depth': 6, 'n_estimators': 12, 'random_state': 0}",0.9552238805970149,0.9242424242424242,0.9772727272727273,0.9522613065326633,0.021697967640747343,16
16,0.01041571299235026,0.0073650212877836956,0.0,0.0,7,10,0,"{'max_depth': 7, 'n_estimators': 10, 'random_state': 0}",0.9402985074626866,0.9318181818181818,0.9848484848484849,0.9522613065326633,0.023216057428185468,16
18,0.01562356948852539,0.0,0.0,0.0,7,12,0,"{'max_depth': 7, 'n_estimators': 12, 'random_state': 0}",0.9552238805970149,0.9242424242424242,0.9772727272727273,0.9522613065326633,0.021697967640747343,16
21,0.01561880111694336,0.0,0.0,0.0,8,11,0,"{'max_depth': 8, 'n_estimators': 11, 'random_state': 0}",0.9552238805970149,0.9166666666666666,0.9848484848484849,0.9522613065326633,0.02784519470413311,16
1,0.015621026357014975,7.867411722033552e-07,0.0,0.0,3,11,0,"{'max_depth': 3, 'n_estimators': 11, 'random_state': 0}",0.9552238805970149,0.9393939393939394,0.9621212121212122,0.9522613065326633,0.009492653173571262,16
13,0.015618324279785156,0.0,0.0,0.0,6,11,0,"{'max_depth': 6, 'n_estimators': 11, 'random_state': 0}",0.9552238805970149,0.9166666666666666,0.9848484848484849,0.9522613065326633,0.02784519470413311,16
12,0.015618324279785156,0.0,0.0,0.0,6,10,0,"{'max_depth': 6, 'n_estimators': 10, 'random_state': 0}",0.9402985074626866,0.9318181818181818,0.9772727272727273,0.949748743718593,0.01969650355986542,23
9,0.015620231628417969,0.0,0.0,0.0,5,11,0,"{'max_depth': 5, 'n_estimators': 11, 'random_state': 0}",0.9477611940298507,0.9242424242424242,0.9772727272727273,0.949748743718593,0.02164144148965014,23
4,0.015622138977050781,0.0,0.0,0.0,4,10,0,"{'max_depth': 4, 'n_estimators': 10, 'random_state': 0}",0.9402985074626866,0.9393939393939394,0.9696969696969697,0.949748743718593,0.014057260926339372,23
25,0.0,0.0,0.01041428248087565,0.007364009763419434,9,11,0,"{'max_depth': 9, 'n_estimators': 11, 'random_state': 0}",0.9552238805970149,0.9166666666666666,0.9772727272727273,0.949748743718593,0.02498643228006087,23
11,0.010412216186523438,0.007362548672671057,0.005206108093261719,0.007362548672671057,5,13,0,"{'max_depth': 5, 'n_estimators': 13, 'random_state': 0}",0.9552238805970149,0.9242424242424242,0.9696969696969697,0.949748743718593,0.018916602846717073,23
17,0.01562356948852539,0.0,0.0,0.0,7,11,0,"{'max_depth': 7, 'n_estimators': 11, 'random_state': 0}",0.9552238805970149,0.9166666666666666,0.9696969696969697,0.9472361809045227,0.02233230659422075,28
