,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bylevel,param_colsample_bytree,param_eta,param_gamma,param_max_delta_step,param_max_depth,param_min_child_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
4962,0.13510719935099283,0.007365808028955899,0.0,0.0,1,0.8,0.4,1,0,7,2,0.8,"{'colsample_bylevel': 1, 'colsample_bytree': 0.8, 'eta': 0.4, 'gamma': 1, 'max_delta_step': 0, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.8}",0.9701492537313433,0.946969696969697,1.0,0.9723618090452262,0.02165252116555279,1
4458,0.14181097348531088,5.619579801452538e-07,0.0,0.0,1,0.8,0.2,1,0,5,2,0.8,"{'colsample_bylevel': 1, 'colsample_bytree': 0.8, 'eta': 0.2, 'gamma': 1, 'max_delta_step': 0, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.8}",0.9701492537313433,0.946969696969697,1.0,0.9723618090452262,0.02165252116555279,1
4467,0.14798394838968912,0.003023558716373523,0.0,0.0,1,0.8,0.2,1,0,6,2,0.8,"{'colsample_bylevel': 1, 'colsample_bytree': 0.8, 'eta': 0.2, 'gamma': 1, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 2, 'subsample': 0.8}",0.9701492537313433,0.946969696969697,1.0,0.9723618090452262,0.02165252116555279,1
4512,0.1457966168721517,0.007364009763419435,0.0,0.0,1,0.8,0.2,1,2,5,2,0.8,"{'colsample_bylevel': 1, 'colsample_bytree': 0.8, 'eta': 0.2, 'gamma': 1, 'max_delta_step': 2, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.8}",0.9701492537313433,0.946969696969697,1.0,0.9723618090452262,0.02165252116555279,1
4530,0.13624040285746256,0.00796957568282396,0.0,0.0,1,0.8,0.2,1,2,7,2,0.8,"{'colsample_bylevel': 1, 'colsample_bytree': 0.8, 'eta': 0.2, 'gamma': 1, 'max_delta_step': 2, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.8}",0.9701492537313433,0.946969696969697,1.0,0.9723618090452262,0.02165252116555279,1
4944,0.14557870229085287,0.011189140169869055,0.0,0.0,1,0.8,0.4,1,0,5,2,0.8,"{'colsample_bylevel': 1, 'colsample_bytree': 0.8, 'eta': 0.4, 'gamma': 1, 'max_delta_step': 0, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.8}",0.9701492537313433,0.946969696969697,1.0,0.9723618090452262,0.02165252116555279,1
4773,0.1417203744252523,0.012754352408711197,0.0,0.0,1,0.8,0.3,1,2,7,2,0.8,"{'colsample_bylevel': 1, 'colsample_bytree': 0.8, 'eta': 0.3, 'gamma': 1, 'max_delta_step': 2, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.8}",0.9701492537313433,0.946969696969697,1.0,0.9723618090452262,0.02165252116555279,1
4953,0.13910555839538574,0.007363729124725344,0.0,0.0,1,0.8,0.4,1,0,6,2,0.8,"{'colsample_bylevel': 1, 'colsample_bytree': 0.8, 'eta': 0.4, 'gamma': 1, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 2, 'subsample': 0.8}",0.9701492537313433,0.946969696969697,1.0,0.9723618090452262,0.02165252116555279,1
4764,0.15100892384847006,0.007363784980227376,0.0,0.0,1,0.8,0.3,1,2,6,2,0.8,"{'colsample_bylevel': 1, 'colsample_bytree': 0.8, 'eta': 0.3, 'gamma': 1, 'max_delta_step': 2, 'max_depth': 6, 'min_child_weight': 2, 'subsample': 0.8}",0.9701492537313433,0.946969696969697,1.0,0.9723618090452262,0.02165252116555279,1
4755,0.15244030952453613,0.007364234546611492,0.0,0.0,1,0.8,0.3,1,2,5,2,0.8,"{'colsample_bylevel': 1, 'colsample_bytree': 0.8, 'eta': 0.3, 'gamma': 1, 'max_delta_step': 2, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.8}",0.9701492537313433,0.946969696969697,1.0,0.9723618090452262,0.02165252116555279,1
